,price,name,industry,pe_ratio,pe_ratio_lyr,pb_ratio,market_cap,circulating_market_cap,roe_ttm,ROAEBITTTM,debt_to_asset_ratio,debt_to_equity_ratio,MLEV,long_debt_to_working_capital_ratio,fixed_asset_ratio,intangible_asset_ratio,net_profit_ratio,net_profit_to_total_operate_revenue_ttm,net_non_operating_income_to_total_profit,gross_income_ratio,adjusted_profit_to_total_profit,total_profit_to_cost_ratio,total_asset_turnover_rate,accounts_payable_turnover_days,account_receivable_turnover_days,inventory_turnover_days,OperatingCycle,inventory_turnover_rate,DEGM,operating_profit_growth_rate,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,net_operate_cash_flow_to_operate_income,net_operating_cash_flow_coverage,cash_rate_of_sales,net_operate_cash_flow_to_total_liability,ACCA,current_ratio,quick_ratio,super_quick_ratio,LVGI,SGI,GMI,DSRI,SGAI,DEGM_8y,maximum_margin,margin_stability
300406.XSHE,16.65,九强生物,医药制造业,25.8241,27.7876,4.5109,83.5477,54.9344,0.174677,0.050116,0.051681,0.054498,0.001764,0.011774,0.131248,0.147519,0.397905,0.397905,0.0,0.682975,0.813646,1.014626,0.416303,85.276436,246.316254,215.802266,462.11852,1.668194,-0.013489,0.116848,0.115419,0.01257,0.540594,0.320291,0.238337,0.272618,-0.031011,15.553552,13.760422,12.206832,0.623462,1.115085,1.048471,0.942514,0.6637,-0.007432,0.980406,35.567037
300407.XSHE,7.57,凯发电气,电气机械和器材制造业,68.6082,155.7767,1.828,23.092,14.9737,0.026007,0.004737,0.46098,0.861816,0.102108,0.218111,0.095856,0.009373,0.019564,0.019564,-0.109045,0.188782,0.621031,0.027124,0.728782,53.240506,173.816362,208.46654,382.282902,1.726896,-0.133504,0.410375,0.048063,0.005516,6.405028,4.67972,0.093344,0.057101,0.020722,2.411852,1.440503,1.301677,1.054773,1.112323,1.165283,1.012978,0.712793,-0.200186,0.20014,2.507832
300408.XSHE,18.57,三环集团,计算机、通信和其他电子设备制造业,30.7052,24.5468,4.4335,323.7054,306.6353,0.144389,0.036599,0.119921,0.136262,0.016762,0.119014,0.294547,0.063321,0.363453,0.363453,0.006163,0.5201,0.79162,0.725093,0.350901,44.049993,148.364263,174.813264,323.177527,2.05934,-0.016927,-0.22874,0.018304,0.011387,1.960027,2.611585,0.736819,0.521121,0.038594,11.465412,9.93422,5.029635,0.855663,1.198182,0.896714,0.584795,0.852906,0.004652,0.945416,22.172756
300409.XSHE,11.31,道氏技术,非金属矿物制品业,-1052.3461,23.6423,2.2198,52.0247,28.6927,-0.002052,0.000499,0.469906,0.884731,0.089355,0.607705,0.257544,0.154974,-0.001633,-0.001633,-0.398085,0.202921,0.817436,0.003086,0.743604,62.148715,111.11952,118.954885,230.074404,3.026357,-0.391172,-0.978824,0.037651,0.005007,515.495501,3.32508,0.303223,0.080317,0.026841,1.518326,0.970258,0.859772,1.102661,2.090045,1.046636,0.632982,0.646104,-0.165041,0.376137,4.093563
300410.XSHE,8.13,正业科技,专用设备制造业,-32.9871,183.4801,1.6335,31.0454,29.0179,-0.049518,-0.007137,0.407051,0.690549,0.061949,0.306939,0.122352,0.294087,-0.072457,-0.072457,-0.008303,0.33862,0.524048,-0.081806,0.394927,193.115012,281.610986,192.725589,474.336576,1.867941,-0.132017,-1.360766,0.110295,0.005734,-0.574503,1.08926,0.099995,0.010791,0.000193,1.603169,1.196048,1.147174,1.266195,1.129295,0.969762,1.039831,0.846544,-0.001896,0.860042,14.477443
300411.XSHE,7.6,金盾股份,通用设备制造业,-2.0628,-1.9734,2.1495,34.6826,11.2421,-1.042025,-0.210015,0.152013,0.181188,0.021183,0.067624,0.120808,0.152169,-3.489996,-3.489996,0.0,0.354072,-0.187368,-3.281565,0.249744,126.80229,539.824046,243.851293,783.675339,1.47631,-0.167184,-14.564552,0.239818,0.015566,0.092488,-0.424452,-0.345988,-0.201574,-0.102142,6.107933,5.140822,4.494722,1.976179,1.190451,0.966793,0.867615,1.92364,-0.024566,0.877537,15.379886
300412.XSHE,6.57,迦南科技,专用设备制造业,41.9884,50.4618,2.1511,16.9716,14.5897,0.051231,0.010244,0.467547,0.937281,0.006418,0.02288,0.139994,0.081984,0.083564,0.083564,0.0,0.396649,0.61661,0.120127,0.392681,133.097361,367.053058,514.372788,881.425846,0.699882,0.049624,0.347059,0.101982,0.009582,-0.112482,0.56252,-0.008511,0.011471,-0.006337,1.657623,0.922692,0.688296,1.187536,1.300482,1.109986,1.145108,0.62664,-0.061114,0.618265,7.075044
300413.XSHE,26.92,芒果超媒,文化艺术业,46.6474,55.3714,5.5716,479.2776,224.5183,0.119441,0.017927,0.482318,0.935561,0.005423,0.06236,0.010833,0.253969,0.095667,0.095667,0.0,0.378195,0.959309,0.112213,0.641946,276.606902,127.647929,132.512585,260.160515,2.716723,0.082931,0.163141,0.196568,0.010051,0.14793,-0.345339,0.014262,-0.007337,-0.014039,1.538165,1.223311,0.968463,2.177869,3.237747,0.613521,1.92099,1.092146,0.086158,0.911847,4.07631
300414.XSHE,12.91,中光防雷,计算机、通信和其他电子设备制造业,65.1174,78.2371,4.7927,41.9231,38.8187,0.073601,0.017849,0.131977,0.151654,0.003252,0.018598,0.07303,0.058818,0.149146,0.149146,0.0,0.345486,0.840138,0.210642,0.417292,97.628935,199.4636,113.566095,313.029695,3.16996,0.07923,0.341098,0.087755,0.011335,0.253637,0.674319,0.025058,0.099667,-0.005746,7.181138,6.453251,3.832251,0.866356,1.042448,0.931104,1.031723,0.754322,-0.001573,0.949265,22.95562
300415.XSHE,7.31,伊之密,专用设备制造业,16.2787,18.0099,2.5009,31.5792,20.3224,0.153631,0.019626,0.54406,1.21675,0.105437,0.699316,0.217645,0.06496,0.091662,0.091662,0.05968,0.344765,0.744316,0.119016,0.746764,65.413949,122.986044,211.379996,334.36604,1.703094,-0.031714,-0.064642,0.111772,0.008752,0.789512,0.983842,0.064447,0.032074,-0.00135,1.457179,0.760273,0.699013,1.041179,1.003314,1.058904,1.146538,0.931837,0.005139,0.955563,24.100911
